time,open,high,low,close,volume
1564617600000,57.0,57.0,57.0,57.0,0
1564704000000,61.0,61.0,61.0,61.0,0
1564790400000,61.0,61.0,61.0,61.0,0
1564876800000,62.0,62.0,62.0,62.0,0
1564963200000,64.0,64.0,64.0,64.0,0
1565049600000,66.0,66.0,66.0,66.0,0
1565136000000,45.0,45.0,45.0,45.0,0
1565222400000,61.0,61.0,61.0,61.0,0
1565308800000,60.0,60.0,60.0,60.0,0
1565395200000,59.0,59.0,59.0,59.0,0
1565481600000,45.0,45.0,45.0,45.0,0
1565568000000,48.0,48.0,48.0,48.0,0
1565654400000,45.0,45.0,45.0,45.0,0
1565740800000,11.0,11.0,11.0,11.0,0
1565827200000,13.0,13.0,13.0,13.0,0
1565913600000,31.0,31.0,31.0,31.0,0
1566000000000,20.0,20.0,20.0,20.0,0
1566086400000,14.0,14.0,14.0,14.0,0
1566172800000,30.0,30.0,30.0,30.0,0
1566259200000,39.0,39.0,39.0,39.0,0
1566345600000,11.0,11.0,11.0,11.0,0
1566432000000,5.0,5.0,5.0,5.0,0
1566518400000,33.0,33.0,33.0,33.0,0
1566604800000,39.0,39.0,39.0,39.0,0
1566691200000,33.0,33.0,33.0,33.0,0
1566777600000,41.0,41.0,41.0,41.0,0
1566864000000,30.0,30.0,30.0,30.0,0
1566950400000,32.0,32.0,32.0,32.0,0
1567036800000,20.0,20.0,20.0,20.0,0
1567123200000,24.0,24.0,24.0,24.0,0
1567209600000,20.0,20.0,20.0,20.0,0
1567296000000,24.0,24.0,24.0,24.0,0
1567382400000,28.0,28.0,28.0,28.0,0
1567468800000,41.0,41.0,41.0,41.0,0
1567555200000,43.0,43.0,43.0,43.0,0
1567641600000,41.0,41.0,41.0,41.0,0
1567728000000,43.0,43.0,43.0,43.0,0
1567814400000,39.0,39.0,39.0,39.0,0
